,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
976,"July 31, 1947","Near Yumen, China",Military - Chinese Air Force,Douglas C-47,26,22,4,26,22,4,1947,July,Summer
977,"August 02, 1947","Andes, Argentina",British South American Airways,Avro 691 Lancastrian 3,11,6,5,11,6,5,1947,August,Summer
978,"August 06, 1947",North Pacific Ocean,Military - U.S. Navy,Consolidated PBY-5A Catalina,20,15,5,20,15,5,1947,August,Summer
979,"August 08, 1947","New York, New York",American Airlines,Douglas DC-3C,5,3,2,3,1,2,1947,August,Summer
980,"August 09, 1947","Malmo, Sweden",AB Aerotransport,Douglas DC-3F,5,0,5,1,0,1,1947,August,Summer
981,"August 13, 1947","Bucharest, Romania",Transporturile Aeriene Romano-Sovietice,Lisunov Li-2,8,5,3,3,3,0,1947,August,Summer
982,"August 21, 1947","Hanksville, Utah",Slick Airways,Curtiss C-46E,3,1,2,3,1,2,1947,August,Summer
983,"August 23, 1947","Bahrain, Persian Gulf",British Overseas Airways,Short Sandringham 5 (flying boat),26,18,8,10,7,3,1947,August,Summer
984,"August 28, 1947","Harsiad, Norway",Norwegian Airlines,Short Sandringham (flying boat),35,27,8,35,27,8,1947,August,Summer
985,"October 08, 1947","Near El Paso, Texas",American Airlines,Douglas DC-4,54,49,5,0,0,0,1947,October,Autumn
986,"October 14, 1947","Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,69,62,7,0,0,0,1947,October,Autumn
987,"October 16, 1947","Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,43,39,4,41,38,4,1947,October,Autumn
988,"October 16, 1947","Sylva, North Carolina",Stratofreight,Douglas DC-3,3,1,2,3,1,2,1947,October,Autumn
989,"October 24, 1947","Bryce Canyon, Utah",United Air Lines,Douglas DC-6,53,48,5,53,48,5,1947,October,Autumn
990,"October 26, 1947","Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,44,36,8,44,36,8,1947,October,Autumn
991,"October 26, 1947","Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,18,13,5,18,13,5,1947,October,Autumn
992,"October 31, 1947","Near Srinagar, India",Military - Royal Indian Air Force,Douglas C-47B,25,22,3,25,22,3,1947,October,Autumn
993,"November 02, 1947","Off Barrio Rizal, Philippines",Philippine Air Express,Douglas DC-3,5,3,2,5,3,2,1947,November,Autumn
995,"November 13, 1947","Near Bouchox, France",Société Auxiliare de Navigation Aérienne,Junkers Ju-52/3m,2,0,2,2,0,2,1947,November,Autumn
996,"November 18, 1947","Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,5,0,5,5,0,5,1947,November,Autumn
997,"November 18, 1947","Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,25,21,4,20,16,4,1947,November,Autumn
998,"November 21, 1947","Phouznicie, Romania",TARS,Lisunov Li-2,26,21,5,13,8,5,1947,November,Autumn
1000,"November 27, 1947","Yakutat, Alaska",Columbia Air Cargo,Douglas DC-3C,13,11,2,13,11,2,1947,November,Autumn
1001,"November 27, 1947","Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,22,19,3,22,19,3,1947,November,Autumn
1002,"November 28, 1947","Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,20,15,5,20,15,5,1947,November,Autumn
1003,"November 30, 1947","Seattle, Washington",Alaska Airlines,Douglas C-54A,28,25,3,8,7,1,1947,November,Autumn
1004,"December 10, 1947","Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),29,25,4,23,22,1,1947,December,Winter
1005,"December 11, 1947","Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,20,16,4,20,16,4,1947,December,Winter
1006,"December 18, 1947","Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5,9,3,4,1947,December,Winter
1008,"December 27, 1947","Korangi Creek, India",Air India,Douglas DC-3 (C-47),23,19,4,23,19,4,1947,December,Winter
1009,"December 28, 1947","Leon, Mexico",Servicio Aéreo Panini,Douglas DC-2-172,10,7,3,5,3,2,1947,December,Winter
1010,"January 06, 1948","Paris, France",Air France,Douglas DC-3D,16,11,5,16,11,5,1948,January,Winter
1011,"January 06, 1948","Ruislip, England",British European Airways,Vickers 610 Viking 1B,18,14,4,1,0,1,1948,January,Winter
1012,"January 07, 1948","Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,27,25,2,18,17,1,1948,January,Winter
1013,"January 08, 1948","Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Douglas DC-3,9,7,2,9,7,2,1948,January,Winter
1014,"January 11, 1948","Ciudad Havajillo, Dominican Republic",Dominicana,Douglas DC-3,32,29,3,32,29,3,1948,January,Winter
1015,"January 13, 1948","Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,9,6,3,5,3,2,1948,January,Winter
1016,"January 20, 1948","Near Mukden, China",China National Aviation Corporation,Curtiss C-46,54,51,3,11,11,0,1948,January,Winter
1017,"January 28, 1948","Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),32,29,3,32,29,3,1948,January,Winter
1018,"January 30, 1948","Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,31,25,6,31,25,6,1948,January,Winter
1019,"February 07, 1948","Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,69,63,6,1,0,1,1948,February,Winter
1020,"February 10, 1948","Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,19,15,4,19,15,4,1948,February,Winter
1021,"February 12, 1948","Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,21,17,4,12,8,4,1948,February,Winter
1022,"February 20, 1948","Collesalvetti,  Italy",Società Aerea Teseo,Douglas C-47-DL,10,7,3,7,4,3,1948,February,Winter
1023,"February 21, 1948","Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),14,7,7,14,7,7,1948,February,Winter
1024,"February 23, 1948","Davao, Philippines",Commercial Airways,Douglas DC-3,12,9,3,12,9,3,1948,February,Winter
1025,"February 25, 1948","Columbus, Ohio",Bruning Aviation,Douglas C-47A,2,0,2,2,0,2,1948,February,Winter
1026,"February 27, 1948","Near Belem, Brazil",Military - Brazilian Air Force,Douglas C-47,26,20,6,23,17,6,1948,February,Winter
1027,"March 02, 1948","Off Perpignan, France",Société de Transports Aériens,Junkers Ju-52/3m,4,0,4,4,0,4,1948,March,Spring
1028,"March 02, 1948","Heathrow Airport, London, England",Sabena,Douglas DC-3,22,19,3,20,17,3,1948,March,Spring
1029,"March 07, 1948","Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Avro Anson,4,2,2,4,2,2,1948,March,Spring
1030,"March 10, 1948","Chicago, Illinois",Delta Air Lines,Douglas DC-4,13,9,4,12,8,4,1948,March,Spring
1031,"March 12, 1948","Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),30,24,6,30,24,6,1948,March,Spring
1032,"March 13, 1948","Sierra Cristais, Brazil",Cruzeiro,Douglas DC-3,6,3,3,6,3,3,1948,March,Spring
1033,"March 15, 1948","Villa Pinzon, Colombia",Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),14,10,4,14,10,4,1948,March,Spring
1034,"March 27, 1948","Monte Cardo, Corsica, France",Indian National Airlines,Vickers 604 Viking 1B,19,15,4,19,15,4,1948,March,Spring
1035,"April 05, 1948","Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4,14,10,4,1948,April,Spring
1036,"April 10, 1948","Kano, Nigeria",Air France,Douglas DC-4,6,0,6,1,0,1,1948,April,Spring
1037,"April 15, 1948","Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,31,21,10,30,20,10,1948,April,Spring
1038,"April 18, 1948",Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,37,33,4,37,33,4,1948,April,Spring
1039,"April 24, 1948",Near Irkutsk Russia,Aeroflot,Lisnov Li-2,29,25,4,28,24,4,1948,April,Spring
1040,"May 13, 1948","Mount Coron, France",Skyways of London,de Havilland Dove 1,4,2,2,4,2,2,1948,May,Spring
1041,"May 13, 1948","Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,32,25,7,31,24,7,1948,May,Spring
1042,"May 15, 1948","Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,13,8,5,13,8,5,1948,May,Spring
1043,"May 16, 1948","Columbus, Ohio",Slick Airways,Curtiss C-46E,2,0,2,2,0,2,1948,May,Spring
1044,"May 20, 1948","Near Bovingdon, England",Air Transport Charter,Douglas C-47A,4,0,4,3,0,3,1948,May,Spring
1045,"May 22, 1948","Khabarovsk, Russia",Aeroflot,Douglas C-47,9,5,4,8,4,4,1948,May,Spring
1046,"May 25, 1948","Albacete, Spain",Alpha Airways,Handley Page Halifax C-8,4,0,4,4,0,4,1948,May,Spring
1047,"June 10, 1948",Isle of Man,Hargreaves Airways,de Havilland DH-89A Dragon Rapide,8,7,1,6,5,1,1948,June,Summer
1048,"June 17, 1948","Mount Carmel, Pennsylvania",United Air Lines,Douglas DC-6,43,39,4,43,39,4,1948,June,Summer
1049,"June 17, 1948","Over the Pearl River, China",Cathy Pacific,PBY Catalina,26,23,3,25,22,3,1948,June,Summer
1050,"June 26, 1948","Maiquetia, Venezuela",Linea Aeropostal Venezolana,Douglas DC-3,17,14,3,1,0,1,1948,June,Summer
1051,"July 01, 1948","Keerbergen, Belgium",Avio Linee Italiane,Fiat G.212CP,12,7,5,8,4,4,1948,July,Summer
1052,"July 04, 1948","Northolt, Middlesex, England",Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,39,26,13,39,26,13,1948,July,Summer
1053,"July 07, 1948","Djiring, French Indo-China",Aigle Azur,Douglas DC-3,16,13,3,16,13,3,1948,July,Summer
1054,"July 14, 1948","Belem, Brazil",Aerovias Brasil,Douglas C-47A,5,2,3,5,2,3,1948,July,Summer
1055,"July 16, 1948",Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Consolidated OA-10 Catalina,26,23,3,25,22,3,1948,July,Summer
1056,"July 24, 1948","Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Douglas DC-3,29,27,2,29,27,2,1948,July,Summer
1057,"July 29, 1948","Buenos Aires, Argentina",ALFA,Short Sandringham 2 (flying boat),24,18,6,18,16,2,1948,July,Summer
1058,"July 29, 1948","Tsingtao, China",Civil Air Transport,Curtiss C-46D-20-CU,19,16,3,19,16,3,1948,July,Summer
1059,"August 01, 1948","Karachi, Pakistan",Onzeair,Avro 691 Lancastrian (flying boat),4,0,4,4,0,4,1948,August,Summer
1060,"August 01, 1948","1,200 miles off Dakar, Atlantic Ocean",Air France,Latecoere 631 (flying boat),52,40,12,52,40,12,1948,August,Summer
1061,"August 09, 1948","Port Underwood, New Zealand",New Zealand National Airways,Douglas C-47B,2,0,2,2,0,2,1948,August,Summer
1062,"August 20, 1948","La Guaira, Venezuela",Avensa,Douglas C-47A,3,0,3,3,0,3,1948,August,Summer
1063,"August 29, 1948","Near Winona, Minnesota",Northwest Orient Airlines,Martin 202,37,33,4,37,33,4,1948,August,Summer
1064,"August 31, 1948","Near Elizabethville, Belgium Congo",Sabena,Douglas DC-3 (Douglas C-47A-10-DK),13,10,3,13,10,3,1948,August,Summer
1065,"September 02, 1948","Near Quirindi, Australia",Australian National Airways,Douglas DC-3,13,10,3,13,10,3,1948,September,Autumn
1066,"September 30, 1948","Balkhash, Kazakhstan",Aeroflot,Lisunov LI-2,15,11,4,15,11,4,1948,September,Autumn
1067,"October 02, 1948","Near Trondheim, Norway",Norwegian Airlines,Short Sandringham 6 (flying boat),45,38,7,19,16,3,1948,October,Autumn
1068,"October 12, 1948","Near Yevlakh, Azerbaijan, USSR",Aeroflot,Ilyushin Il12,10,4,6,10,4,6,1948,October,Autumn
1069,"October 21, 1948","Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,40,30,10,40,30,10,1948,October,Autumn
1070,"October 23, 1948","Mt. Ruapehu, New Zealand",New Zealand National Airways,Lockheed 10A Electra,13,10,3,13,10,3,1948,October,Autumn
1071,"October 25, 1948","Georgian SSR, USSR",Aerflot,Lisunov Li-2,18,14,4,18,14,4,1948,October,Autumn
1072,"October 27, 1948","Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Douglas C-54A,5,0,5,2,0,2,1948,October,Autumn
1073,"November 03, 1948","Near Glossop, England",Military - U.S. Air Force,Boeing B-29A Superfortress,13,0,13,13,0,13,1948,November,Autumn
1074,"November 04, 1948","Cape Spencer, Alaska",Pacific Alaska Air Freight,Douglas DC-3,17,15,2,17,15,2,1948,November,Autumn
1075,"November 08, 1948","Mt. Macedon, Australia",Australian National Airways,Douglas DC-3,23,19,4,3,0,3,1948,November,Autumn
1076,"November 11, 1948","Liverpool, England",Mannin Airways,de Havilland DH-89A Dragon Rapide,8,6,2,7,5,2,1948,November,Autumn
1077,"November 22, 1948","Near Ryzhovo, Russia",Aeroflot,Lisunov Li-2,26,21,5,23,18,5,1948,November,Autumn
1078,"November 26, 1948","Vehari, Pakistan",Pakistan Airways,Douglas DC-3,21,16,5,21,16,5,1948,November,Autumn
1079,"December 05, 1948","Kiangwan, China",Central Air Transport,Curtiss C-46,40,37,3,9,7,2,1948,December,Winter
1080,"December 06, 1948","Milan, Italy","Avio Linee ItalianeAvio Linee Italiane",Douglas C-47,7,6,1,7,6,1,1948,December,Winter
1081,"December 12, 1948","Taipei, Taiwan",China National Aviation Corporation,Douglas DC-3,10,8,2,2,0,2,1948,December,Winter
1082,"December 15, 1948","Near Bogata, Colombia",LANSA,Douglas C-47,30,27,3,30,27,3,1948,December,Winter
1083,"December 21, 1948","Near Pilos, Greece",Ceskoslovenske Aerolinie,Douglas DC-3,24,19,5,24,19,5,1948,December,Winter
1084,"December 21, 1948","Basalt Island, Hong Kong",China National Aviation Corporation,Douglas C-54B-5-DO,33,29,4,33,29,4,1948,December,Winter
1085,"December 23, 1948","Near Madrid, Spain",Iberia Airlines,Douglas DC-3 (C-47-DL),27,24,3,27,24,3,1948,December,Winter
1086,"December 28, 1948","Off San Juan, Puerto Rico",Airborne Transport,Douglas DC-3DST,32,29,3,32,29,3,1948,December,Winter
1087,"December 31, 1948","Mt. Argentari, Italy",Pan African Air Charter,Douglas DC-3,13,8,5,13,8,5,1948,December,Winter
1088,"January 02, 1949","Seattle, Washington",Seattle Air Charter,Douglas DC-3 (C-47A-DL),30,27,3,14,11,3,1949,January,Winter
1089,"January 05, 1949","Caravelas Bay, Brazil",British South American Airways,Avro 685 York 1,17,11,6,3,3,0,1949,January,Winter
1090,"January 06, 1949","Brandywine, Maryland",Coastal Cargo,Douglas C-47A,2,0,2,2,0,2,1949,January,Winter
1091,"January 11, 1949","Near Pelotas, Brazil",Viacao Aerea Gaucha S.A.,Lockheed 18 Lodestar,12,8,4,12,8,4,1949,January,Winter
1093,"January 16, 1949","Near Srinagar, India",Dalmia Jain Airways,Douglas DC-3,13,4,9,13,4,9,1949,January,Winter
1094,"January 17, 1949","Atlantic Ocean, off Bermuda",British South American Airways,Avro 688 Tudor 4B,20,13,7,20,13,7,1949,January,Winter
1095,"January 17, 1949","Near Succoth Glen, Lochgoilhead, Scotland",Military - U.S. Air Force,Boeing B-29A Superfortress,20,16,4,20,16,4,1949,January,Winter
1096,"January 20, 1949","Homer, Alaska",Alaska Airlines,Douglas DC-3C,6,3,3,5,3,2,1949,January,Winter
1097,"January 30, 1949","Port Washington, New York",Pan American World Airways,Lockheed L-749 / Cessna 140,35,23,12,2,1,1,1949,January,Winter
1099,"February 04, 1949","Castel Benito, Libya",Skyways of London,Douglas C-54A-1-DO Skymaster,53,44,9,1,0,1,1949,February,Winter
1100,"February 05, 1949","Buenaventura Bay, Colombia",AVIANCA,Consolidated PBY-5A Catalina,14,10,4,3,1,2,1949,February,Winter
1101,"February 08, 1949","Off Copenhagen, Denmark",Scandinavian Airlines (SAS),Vickers 628 Viking 1B,27,23,4,27,23,4,1949,February,Winter
1102,"February 10, 1949","Near Huanuco, Peru",Faucett,Douglas DC-3,16,13,3,16,13,3,1949,February,Winter
1103,"February 19, 1949","Near Coventry, Warks, England",British European Airways / Military - British,Douglas DC-3 / Avro Anson,14,6,8,14,6,8,1949,February,Winter
1104,"February 24, 1949","Near Cuzco, Peru",TAM (Peru),Douglas C-47,26,22,4,22,20,2,1949,February,Winter
1105,"February 24, 1949","Braemar Resevoir, Hong Kong",Cathay Pacific Airways,Douglas DC-3,23,19,4,23,19,4,1949,February,Winter
1106,"March 10, 1949","Coolangatta, Australia",Queensland Airlines,Lockheed 18 Lodestar,22,19,3,22,19,3,1949,March,Spring
1107,"March 15, 1949","Berlin, Germany",Skyways,Avro 685 York I,3,0,3,3,0,3,1949,March,Spring
1108,"March 18, 1949","Near Waikanae, New Zealand",New Zealand National Airways,Lockheed 18 Lodestar,15,13,2,15,13,2,1949,March,Spring
1109,"April 29, 1949","Near Mironovo, Russia",Aeroflot,Lisunov Li-2,24,18,6,14,11,3,1949,April,Spring
1110,"May 04, 1949","Superga, Italy",Avio Linee Italiane,FIAT G-212CP,31,27,4,31,27,4,1949,May,Spring
1111,"May 04, 1949","Near Portland, Dorset, England",Bristop Aeroplane Company,Bristol 170 Freighter 31 Mark II,7,0,7,7,0,7,1949,May,Spring
1112,"May 07, 1949","Sibuyan Sea, off the Philippine island of Elalat",Philippine Air Lines,Douglas DC-3,13,10,3,13,10,3,1949,May,Spring
1113,"May 13, 1949","Near  Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5,25,20,5,1949,May,Spring
1114,"June 06, 1949","Malahasa Attica, Greece",Tech - Aeronautical Explotiation,Douglas DC-3,22,18,4,22,18,4,1949,June,Summer
1115,"June 07, 1949","Near Florianpolis, Brazil",Military - Brazilian Air Force,Douglas C-47B,27,21,6,27,21,6,1949,June,Summer
1116,"June 07, 1949","San Juan, Puerto Rico",Strato Freight,Curtiss C-46D-5-CU,81,75,6,53,52,1,1949,June,Summer
1117,"June 23, 1949","Off Bari, Italy",KLM Royal Dutch Airlines,Lockheed 749-79-33 Constellation,33,23,10,33,23,10,1949,June,Summer
1118,"July 02, 1949","Near Guildford, Australia",Mac Roberston-Miller Airlines,Douglas C-47A-20-DL,18,14,4,18,14,4,1949,July,Summer
1119,"July 12, 1949","Chatsworth, California",Standard Airlines,Curtiss C-46E-1-CS,48,44,4,35,32,3,1949,July,Summer
1120,"July 12, 1949","Near Bombay, India",KLM Royal Dutch Airlines,Lockheed L-749-79-33 Constellation,45,34,11,45,34,11,1949,July,Summer
1121,"July 13, 1949","Jamnagar, Gujarat state, India",Indian Air Force,Hawker Hunter,0,1,1,0,1,1,1949,July,Summer
1122,"July 19, 1949","Seattle, Washington",Air Transport Associates,Curtiss C-46F-1-CU,32,28,4,2,2,0,1949,July,Summer
1123,"July 21, 1949","Marga, Russia",Aeroflot,Ilyushin IL-12,14,8,6,13,8,5,1949,July,Summer
1124,"July 30, 1949","Chesterfield, New Jersey",Eastern Air Lines / Military - USN,Douglas DC-3 -201D/ F-6-F- 5 Hellcat,16,12,4,16,12,4,1949,July,Summer
1125,"August 02, 1949","Jaquirana, Brazil",Varig,Curtiss C-46D-10-CU,36,30,6,5,4,1,1949,August,Summer
1127,"August 06, 1949","Salasaca, Ecuador",Shell Co of Ecuador,Bristol 170 Freighter 21,34,31,3,34,31,3,1949,August,Summer
1129,"August 13, 1949","Near Bogota, Colombia",SAETA,Douglas C-47,32,29,3,32,29,3,1949,August,Summer
1130,"August 15, 1949","Off Lurga Point, Ireland",Transocean Air Lines,Douglas DC-3 (C-54A-DO),58,49,9,8,7,1,1949,August,Summer
1131,"August 19, 1949","Near Oldham, England",British European Airways,Douglas DC-3,32,29,3,24,21,3,1949,August,Summer
1132,"August 21, 1949","Near Bigstone Lake, Manitoba",Military - Royal Canadian Air Force,Consolidated Canso (amphibian),21,14,7,21,14,7,1949,August,Summer
1133,"August 27, 1949","Leopoldville, Zaire",Sabena,Douglas C-47B-5-DK,20,17,3,5,3,2,1949,August,Summer
1134,"September 09, 1949","Sault-aux-Cochons, PQ, Canada",Canadian Pacific Air Lines,Douglas DC-3,23,19,4,23,19,4,1949,September,Autumn
1135,"September 26, 1949","Mt. Popocatepetl, Mexico",Mexicana,Douglas DC-3,24,21,3,24,21,3,1949,September,Autumn
1136,"September 27, 1949","Near Castilla, Argentina",Flota Aérea Mercante Argentina,Douglas C-54A-1-DO,27,20,7,5,2,3,1949,September,Autumn
1137,"October 09, 1949","Cheyenne, Wyoming",Slick Airways,Curtiss C-46E-1-CS,4,2,2,4,2,2,1949,October,Autumn
1138,"October 28, 1949","San Miguel Island, Azores",Air France,Lockheed 749-79-33 Constellation,48,37,11,48,37,11,1949,October,Autumn
1139,"November 01, 1949","Arlington, Virginia",Eastern Air Lines / Military - Bolivian Air Force,Douglas C-54B / P-38,55,51,4,55,51,4,1949,November,Autumn
1140,"November 04, 1949","Akron, Ohio",Harrington's Inc,Douglas DC-3,3,0,3,3,0,3,1949,November,Autumn
1141,"November 16, 1949","Calcutta, India",Royal Indian Air Force,Tempest,2,0,2,1,0,1,1949,November,Autumn
1142,"November 20, 1949","Near Oslo, Norway",Aero Holland,Douglas C-47A,35,31,4,34,30,4,1949,November,Autumn
1143,"November 26, 1949","Near Bucaramanga, Colombia",LANSA,Douglas DC-3,12,9,3,12,9,3,1949,November,Autumn
1144,"November 29, 1949","Dallas, Texas",American Airlines,Douglas DC-6,46,41,5,28,26,2,1949,November,Autumn
1145,"November 29, 1949","Chaleyssin, France",Air France,Douglas DC-4,38,33,5,5,1,4,1949,November,Autumn
1146,"December 01, 1949","Taquaracucu, Brazil",REAL,Douglas DC-3 (C-47-DL),22,18,4,20,16,4,1949,December,Winter
1147,"December 07, 1949","Vallejo, California",Arrow Airlines,Douglas DC-3,9,6,3,9,6,3,1949,December,Winter
1148,"December 09, 1949","Near Lanchow, China",Civil Air Transport,Curtiss C-46D-CU,38,36,2,38,36,2,1949,December,Winter
1150,"December 12, 1949","Washington, D.C.",Capital Airlines,Douglas DC-3-313A,23,20,3,6,4,2,1949,December,Winter
1151,"December 12, 1949","Jungshahi, Pakistan",Pakair,Douglas DC-3,26,22,4,26,22,4,1949,December,Winter
1152,"December 16, 1949","Orizaba, Mexico",Mexicana,Douglas DC-3,17,13,4,17,13,4,1949,December,Winter
1153,"December 18, 1949","Aulnay-sous-Bois, France",Sabena,Douglas C-47A-60-DL,8,4,4,8,4,4,1949,December,Winter
1154,"December 30, 1949","Comilla, Pakistan",Bharat Airways,Douglas C-54A-DO,7,6,1,7,6,1,1949,December,Winter
1156,"January 18, 1950","Albacete, Spain",Ejercito del Aire,Casa 352,16,13,3,16,13,3,1950,January,Winter
1157,"January 20, 1950","Near Vacas, Bolivia",Military - Bolivian Air Force,Douglas C-47,32,28,4,32,28,4,1950,January,Winter
1158,"January 24, 1950","Near Tamatave, Madagascar",Societe Transatlantique Aerienne,Douglas C-47A-50-DL,14,11,3,14,11,3,1950,January,Winter
1159,"January 24, 1950","Iloilo,Philippines",Philippine Air Lines,Douglas DC-3,4,1,3,4,1,3,1950,January,Winter
1160,"January 26, 1950","Near Snag, Yukon Territory",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),44,36,8,44,36,8,1950,January,Winter
1161,"February 02, 1950",North Sea,KLM Royal Dutch Airlines,Douglas DC-3,7,0,7,7,0,7,1950,February,Winter
1162,"February 27, 1950","Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Douglas C-47A-15-DK,30,27,3,5,2,3,1950,February,Winter
1163,"March 07, 1950","Minneapolis, Minnesota",Northwest Orient Airlines,Martin 202,13,10,3,13,10,3,1950,March,Spring
1164,"March 10, 1950","Saigon, Vietnam",Societe Indochinoise de Transport Aeriens,Bristol 170 Freighter 21,4,1,3,4,1,3,1950,March,Spring
1165,"March 12, 1950","Llandow Airport, Cardiff, Wales",Fairflight Ltd.,Avro 689 Tudor 5,83,78,5,80,75,5,1950,March,Spring
1166,"March 25, 1950","Ankara, Turkey",Devlet Hava Yollairi,Douglas DC-3,15,11,4,15,11,4,1950,March,Spring
1167,"March 28, 1950","Off Cap-Ferret, France",SEMAF,Latecoere 631 (sea plane),12,0,12,12,0,12,1950,March,Spring
1168,"April 05, 1950","Hatiara, India",Deccan Airways,Douglas C-47A,3,0,3,3,0,3,1950,April,Spring
1169,"April 13, 1950","Near Hastings, England",British European Airways,Vickers 610 Viking 1B,32,28,4,0,0,0,1950,April,Spring
1170,"April 15, 1950","Santa Ana, Colombia",Lineas Aéreas Nacionales,Douglas C-47 (DC-3),4,0,2,2,0,2,1950,April,Spring
1171,"April 21, 1950","Near Atsugi, Japan",Military - U.S. Air Force,Douglas C-54D,35,27,8,35,27,8,1950,April,Spring
1172,"May 02, 1950","Chimborazo, Ecuador",AVIANCA,Douglas C-47DL,15,12,3,15,12,3,1950,May,Spring
1173,"May 18, 1950","Lagens Air Force Base, Azores",Military - U.S. Air Force,Boeing B-29,16,5,11,16,5,11,1950,May,Spring
1174,"May 23, 1950","Myrtle Beach, South Carolina",Military - U.S. Air Force,Curtiss C-46D,39,35,4,39,35,4,1950,May,Spring
1175,"May 24, 1950","Near Pasto, Colombia",LANSA,Douglas C-47,27,24,3,26,23,3,1950,May,Spring
1176,"May 27, 1950","Teterboro, New Jersey",Regina Cargo Airlines,Curtiss C-46F-1-CU,2,0,2,1,0,1,1950,May,Spring
1177,"May 30, 1950","Near Ilheus, Brazil",Aerovias Brasil,Douglas DC-3,15,11,4,13,9,4,1950,May,Spring
1178,"June 05, 1950",Atlantic Ocean off Florida,Westair Transport,Curtiss C-46-F-1-CU,65,62,3,28,28,0,1950,June,Summer
1179,"June 09, 1950","Near Fonseca, Colombia",New Tribes Mission,Douglas DC-3-178,15,12,3,15,12,3,1950,June,Summer
1180,"June 13, 1950",Off Bahrain,Air France,Douglas DC-4-1009,52,44,8,46,40,6,1950,June,Summer
1181,"June 14, 1950",Bahrain,Air France,Douglas DC-4,53,45,8,40,37,3,1950,June,Summer
1182,"June 15, 1950","Bahrain, Bahrain",Air France,Douglas DC-4,53,45,8,40,37,3,1950,June,Summer
1183,"June 23, 1950","Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,Douglas DC-4,58,55,3,58,55,3,1950,June,Summer
1184,"June 26, 1950","York, Australia",Ansett ANA,Douglas DC-4-1009,29,24,5,29,24,5,1950,June,Summer
1185,"July 07, 1950","Busan, South Korea",Military - U.S. Air Force,Douglas C-54G,23,18,5,23,18,5,1950,July,Summer
1186,"July 09, 1950","Casablanca, Morocco",Aigle Azur,Douglas DC-3,29,25,4,22,18,4,1950,July,Summer
1187,"July 17, 1950","Near Pathankot, India",Indian National Airlines,Douglas DC-3,22,18,4,22,18,4,1950,July,Summer
1188,"July 18, 1950","Near Bocoio, Angola",DTA Angola Airlines,Douglas DC-3,9,6,3,9,6,3,1950,July,Summer
1189,"July 23, 1950","Myrtle Beach, North Carolina",Military - U.S. Air Force,Curtiss C-46 Commando,39,35,4,39,35,4,1950,July,Summer
1190,"July 27, 1950","Off O-shima Island, Japan",Military - U.S. Air Force,Douglas C-47D,26,23,3,25,22,3,1950,July,Summer
1191,"July 28, 1950","Porte Alegre, Brazil",Panair do Brasil,Lockheed 049 Constellation,50,43,7,50,43,7,1950,July,Summer
1192,"July 29, 1950","Tunbukta, Algeria",Cie Air Transport,Bristol 170 Freighter 21,26,22,4,26,22,4,1950,July,Summer
