,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
72,"September 07, 1922","Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1922,September,Autumn
73,"October 02, 1922","Venice, Italy",de Havilland Air Service,de Havilland DH-9,4,3,1,4,3,1,1922,October,Autumn
74,"October 25, 1922","Larache, Morocco",Grands Express Aeriens,Breguet 14,2,1,1,2,1,1,1922,October,Autumn
75,"December 03, 1922","Fez, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1922,December,Winter
76,"January 10, 1923","Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4,2,2,3,1,2,1923,January,Winter
77,"January 17, 1923","Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1923,January,Winter
78,"January 18, 1923","Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,January,Winter
79,"February 26, 1923","Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,February,Winter
80,"May 14, 1923","Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,4,2,6,4,2,1923,May,Spring
81,"August 27, 1923","East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,11,9,2,1,1,0,1923,August,Summer
82,"August 27, 1923","Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,1,1,2,1,1,1923,August,Summer
83,"September 07, 1923","Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,September,Autumn
84,"September 14, 1923","Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,3,2,5,3,2,1923,September,Autumn
85,"November 18, 1923",Russia,CCCP,Junkers F-13,5,2,3,3,1,2,1923,November,Autumn
86,"December 06, 1923","Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,December,Winter
88,"December 24, 1923","Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,December,Winter
89,"March 07, 1924","Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1924,March,Spring
90,"April 24, 1924",Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,2,1,3,2,1,1924,April,Spring
91,"June 08, 1924","Barranquilla, Colombia",SCADTA,Junkers F-13,5,3,2,5,3,2,1924,June,Summer
92,"August 01, 1924",United States,US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1924,August,Summer
93,"November 06, 1924","Cabrerolles, France",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1924,November,Autumn
94,"December 21, 1924","Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1924,December,Winter
95,"December 24, 1924","Purley, England",Imperial Airways,de Havilland DH-34B,8,7,1,8,7,1,1924,December,Winter
96,"March 22, 1925","Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,2,5,3,2,1925,March,Spring
97,"April 25, 1925","Alicante, Spain",Grands Express Aeriens,Breguet 14,3,1,2,3,1,2,1925,April,Spring
98,"June 25, 1925","Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,3,1,4,3,1,1925,June,Summer
99,"June 26, 1925","Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,2,0,2,2,0,2,1925,June,Summer
100,"July 20, 1925","Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,1925,July,Summer
101,"July 24, 1925","Budapest, Hungary",CIDNA,Potez IX,1,0,1,1,0,1,1925,July,Summer
102,"September 03, 1925","Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0,14,1925,September,Autumn
104,"October 01, 1925","Mt. Nittany, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1925,October,Autumn
105,"November 14, 1925","Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,1925,November,Autumn
107,"February 12, 1926","Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,0,1,1,0,1,1926,February,Winter
108,"March 08, 1926","Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,0,1,1,0,1,1926,March,Spring
109,"May 31, 1926",English Channel,Air Union,Breguet 14,1,0,1,1,0,1,1926,May,Spring
110,"July 03, 1926","Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,6,4,2,6,4,2,1926,July,Summer
111,"July 09, 1926","Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,2,1,1,2,1,1,1926,July,Summer
112,"July 24, 1926","Juist, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,5,4,1,1926,July,Summer
113,"August 18, 1926","Hurst, Kent, England",Air Union,Bleriot 155,15,13,2,3,2,1,1926,August,Summer
115,"October 02, 1926","Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,7,5,2,7,5,2,1926,October,Autumn
116,"October 08, 1926","Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,3,1,4,3,1,1926,October,Autumn
117,"October 21, 1926",English Channel,Imperial Airways,Handley Page W-10,12,10,2,0,0,0,1926,October,Autumn
118,"November 11, 1926","Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3,0,3,3,0,1926,November,Autumn
119,"December 16, 1926","Medford, Oregon",Pacific Air Transport,Ryan M-1,1,0,1,1,0,1,1926,December,Winter
120,"January 12, 1927","Estaires, France",Fokker,Fokker F-VII,0,0,2,0,0,2,1927,January,Winter
121,"March 20, 1927","Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1927,March,Spring
122,"March 24, 1927","Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,2,1,3,2,1,1927,March,Spring
123,"April 15, 1927","King Hill, Idaho",Varney Air Lines,"SwallowSwallow",1,0,1,1,0,1,1927,April,Spring
124,"April 22, 1927","Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,1,1,2,1,1,1927,April,Spring
125,"April 22, 1927","Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,0,1,1,0,1,1927,April,Spring
126,"May 02, 1927","Algiers, Algeria",Air Union,SPCA Meteore 63,3,0,3,1,0,1,1927,May,Spring
127,"July 27, 1927","Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2,5,3,2,1927,July,Summer
128,"August 22, 1927","Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11,9,2,1,0,1,1927,August,Summer
129,"September 03, 1927","Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,0,1,1,0,1,1927,September,Autumn
130,"September 17, 1927","Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12,11,1,7,6,1,1927,September,Autumn
131,"September 17, 1927",Atlantic Ocean,Private,Fokker F7,3,1,2,3,1,2,1927,September,Autumn
132,"September 23, 1927","Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,4,2,6,4,2,1927,September,Autumn
133,"October 06, 1927","Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,0,2,2,0,2,1927,October,Autumn
134,"October 30, 1927","New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,3,1,4,3,1,1927,October,Autumn
135,"November 08, 1927","Strasburg, France",CIDNA,Farman F-121 Jabiru,1,0,1,1,0,1,1927,November,Autumn
136,"November 16, 1927",Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,1927,November,Autumn
137,"November 29, 1927","Corunna, Indiana",National Air Transport,Douglas M-4,1,0,1,1,0,1,1927,November,Autumn
138,"December 28, 1927","Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,1927,December,Winter
139,"December 31, 1927","Near Marseille,France",Latecoere Airlines,Latécoère 23 (flying boat),5,0,5,5,0,5,1927,December,Winter
140,"January 08, 1928","Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,1,2,3,1,2,1928,January,Winter
141,"January 16, 1928","Solis, Uruguay",Aeropostale,Latecoere 25,2,0,2,2,0,2,1928,January,Winter
142,"January 22, 1928","L'Hospitalet, Ariège",Aeropostale,Breguet 14,1,0,1,1,0,1,1928,January,Winter
143,"January 22, 1928","Tarragona, Spain",Aeropostale,Breguet 14,2,0,2,2,0,2,1928,January,Winter
144,"January 27, 1928","Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,1928,January,Winter
145,"February 26, 1928","Marquette, Nebraska",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,1928,February,Winter
146,"March 11, 1928","Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,0,2,2,0,2,1928,March,Spring
147,"April 17, 1928","Federal, Wyoming",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,1928,April,Spring
148,"April 19, 1928","Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,7,2,9,7,2,1928,April,Spring
149,"May 07, 1928","Florianopolis, BrazilFlorianopolis, BrazilFlorianopolis, Brazil",Aeropostale,Latecoere 26,5,3,2,1,1,0,1928,May,Spring
150,"May 12, 1928","Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,0,2,2,0,2,1928,May,Spring
151,"May 26, 1928","Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,3,2,1,1928,May,Spring
152,"June 14, 1928","Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,4,1,5,4,1,1928,June,Summer
153,"June 22, 1928","Lebo, Kansas",National Air Transport,Douglas M-4,1,0,1,1,0,1,1928,June,Summer
154,"July 10, 1928",Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,1928,July,Summer
